id_actgen,lib_actgen,descr_actgen
8;gardien;"Assure la surveillance des equipements, veille a la proprete des locaux et a la maintenance des equipements"
9;"mecanicien ";"Assurer la maintenance et la reparation de vehicules routiers"
10;Electrotechnicien;"Controle les equipements electronique. Il realise l'installation electrique d'un batiment, place les cables qui distribuent le courant et raccorde differents appareils.

Assure la mise en service et la maintenance des equipements electriques.


"
11;Horticulteur;"Assurer le developpement des vegetaux, depuis leur mise en culture jusqu'a la recolte, surveille la croissance des plantes, les arrose, les desherbe, les traite, les taille.



"
13;Informaticien;"Concoit des applications ou des sites web, maintenance de reseaux dans les entreprises, assurer la securite, assure le depannage aux utilisateurs, vends des solutions informatiques aux particuliers
traitement du big data"
14;Secretaire;"Gere la communication d'un service ou d'une entreprise. 
Assure l'accueil de visiteurs,traiter les appels telephoniques, les prises de rendez-vous, la redaction du courrier ou de documents.
Organise des reunions de travail, des deplacements de colloques ou de salon.





"
20;"Ouvrier Genie Civil";"Concoit et edifie des projets de construction d'infrastructures: routes, ponts, canalisations, logements et edifices publics.
Concoit de paysage  jardins publics, des espaces urbains ou de jardins prives.
Gere les travaux publics, la maconnerie.
"
21;Infirmier;"Il effectue des soins de nature preventive, curative ou palliative pour ameliorer, maintenir et restaurer la sante. Il collabore avec toute l'equipe soignante et participe au projet global de soin. Il assure avec l'aide-soignant les soins d'hygiene, de confort et de securite du patient.



"
22;Agriculteur;"Eleve des animaux, des poissons, cultive des champs de cereales, des fruits et legumes, produit du lait."
23;Logisticien;"Il traite les commandes avec les fournisseurs. Il gere les magasins de stockage, effectue des inventaires. Dans la grande distribution, il garantit la disponibilite d'un produit en rayon. Dans une industrie, il veille a la reserve des matieres premieres par rapport au planning de production. Il s'informe des dysfonctionnements qui peuvent retarder la fabrication en serie. Puis il organise les etapes du conditionnement et de l'expedition des produits finis."
